open,close,low,high,vol,time
9145.5,9145.0,9145.0,9147.0,0.0,2020-07-01 02:43:00
9145.0,9144.0,9142.0,9148.5,0.0,2020-07-01 02:44:00
9144.0,9143.5,9143.5,9144.0,0.0,2020-07-01 02:45:00
9143.5,9143.0,9143.0,9144.0,1097.28,2020-07-01 02:46:00
9143.0,9137.0,9133.5,9143.0,0.0,2020-07-01 02:47:00
9137.0,9134.5,9133.5,9137.0,10506.975,2020-07-01 02:48:00
9134.5,9137.0,9134.5,9140.0,0.0,2020-07-01 02:49:00
9137.0,9136.5,9136.5,9137.0,0.0,2020-07-01 02:50:00
9136.5,9135.5,9135.5,9136.5,0.0,2020-07-01 02:51:00
9135.5,9136.5,9135.5,9139.0,30988.3848,2020-07-01 02:52:00
9136.5,9137.5,9136.5,9137.5,0.0,2020-07-01 02:53:00
9137.5,9139.5,9137.5,9140.5,2373.78785,2020-07-01 02:54:00
9139.5,9138.0,9138.0,9139.5,2360.73285,2020-07-01 02:55:00
9138.0,9130.0,9128.5,9138.0,18525.3841,2020-07-01 02:56:00
9130.0,9129.5,9129.5,9130.5,0.0,2020-07-01 02:57:00
9129.5,9131.0,9129.5,9134.0,2118.044,2020-07-01 02:58:00
9131.0,9130.0,9130.0,9131.0,0.0,2020-07-01 02:59:00
9130.0,9131.0,9129.5,9131.5,199.9689,2020-07-01 03:00:00
9131.0,9127.0,9125.5,9131.0,1762.4675,2020-07-01 03:01:00
9127.0,9127.0,9127.0,9131.0,0.0,2020-07-01 03:02:00
9127.0,9128.0,9126.0,9128.0,0.0,2020-07-01 03:03:00
9128.0,9128.0,9127.0,9128.5,1966.2789,2020-07-01 03:04:00
9128.0,9126.0,9126.0,9128.0,3052.897,2020-07-01 03:05:00
9126.0,9126.0,9126.0,9126.0,0.0,2020-07-01 03:06:00
9126.0,9124.5,9124.0,9126.0,28745.0,2020-07-01 03:07:00
9124.5,9118.0,9111.5,9124.5,6763.72965,2020-07-01 03:08:00
9118.0,9115.0,9114.5,9119.5,5263.01165,2020-07-01 03:09:00
9115.0,9112.5,9112.0,9115.0,19434.34055,2020-07-01 03:10:00
9112.5,9112.5,9110.5,9116.0,10197.2774,2020-07-01 03:11:00
9112.5,9106.0,9102.5,9113.5,0.0,2020-07-01 03:12:00
9106.0,9112.0,9098.0,9116.0,26702.68625,2020-07-01 03:13:00
9112.0,9117.0,9112.0,9117.0,2622.6732,2020-07-01 03:14:00
9117.0,9119.0,9113.5,9119.0,1843.66105,2020-07-01 03:15:00
9119.0,9123.5,9117.5,9124.5,3422.2549,2020-07-01 03:16:00
9123.5,9125.0,9123.0,9125.0,0.0,2020-07-01 03:17:00
9125.0,9128.5,9123.0,9130.5,1777.70835,2020-07-01 03:18:00
9128.5,9130.0,9127.0,9130.0,0.0,2020-07-01 03:19:00
9130.0,9135.5,9130.0,9137.0,5480.83665,2020-07-01 03:20:00
9135.5,9136.0,9135.5,9136.0,0.0,2020-07-01 03:21:00
9136.0,9141.0,9136.0,9141.0,0.0,2020-07-01 03:22:00
9141.0,9140.5,9140.5,9141.0,2927.8623,2020-07-01 03:23:00
9140.5,9141.5,9140.5,9141.5,9.1405,2020-07-01 03:24:00
9141.5,9140.5,9138.5,9143.0,0.0,2020-07-01 03:25:00
9140.5,9140.0,9140.0,9140.5,0.0,2020-07-01 03:26:00
9140.0,9140.0,9139.5,9140.5,0.0,2020-07-01 03:27:00
9140.0,9139.5,9139.5,9140.0,0.0,2020-07-01 03:28:00
9139.5,9137.0,9136.0,9140.0,15394.7922,2020-07-01 03:29:00
9138.0,9137.5,9137.0,9138.0,0.0,2020-07-01 03:30:00
9137.5,9144.0,9137.5,9145.0,2049.3843,2020-07-01 03:31:00
9144.0,9144.5,9141.0,9145.0,0.0,2020-07-01 03:32:00
9144.5,9145.0,9144.0,9145.0,0.0,2020-07-01 03:33:00
9145.0,9145.0,9145.0,9145.0,0.0,2020-07-01 03:34:00
9145.0,9145.0,9145.0,9145.0,0.0,2020-07-01 03:35:00
9145.0,9144.0,9141.5,9145.0,0.0,2020-07-01 03:36:00
9144.0,9143.5,9143.5,9144.0,49.3776,2020-07-01 03:37:00
9143.5,9144.5,9142.0,9144.5,193.8327,2020-07-01 03:38:00
